哎,āi,thán từ,哎，我忘记带钥匙了！
唉,āi,thán từ,唉，这个问题真难！
爱护,ài hù,"yêu thương, giữ gìn",我们要爱护环境。
爱惜,ài xī,quý trọng,他很爱惜自己的书。
爱心,ài xīn,lòng tốt,她有一颗善良的爱心。
安装,ān zhuāng,lắp đặt,我们正在安装新软件。
岸,àn,bờ,他站在河的对岸。
暗,àn,tối,房间里很暗。
熬夜,áo yè,thức đêm,他经常熬夜工作。
把握,bǎ wò,nắm chắc,我们要把握机会。
摆,bǎi,bày,他在桌上摆了很多书。
办理,bàn lǐ,làm (thủ tục),我需要办理签证。
傍晚,bàng wǎn,chiều muộn,我们傍晚去散步吧。
包裹,bāo guǒ,bưu kiện,你的包裹到了。
包含,bāo hán,bao hàm,这本书包含很多信息。
包括,bāo kuò,bao gồm,价格包括税金。
薄,báo,mỏng,这片面包很薄。
宝贝,bǎo bèi,bảo bối,他是我的小宝贝。
宝贵,bǎo guì,quí báu,时间非常宝贵。
保持,bǎo chí,duy trì,请保持安静。
保留,bǎo liú,bảo lưu,我们应该保留传统文化。
保险,bǎo xiǎn,bảo hiểm,你有健康保险吗？
报到,bào dào,điểm danh,新员工需要先报到。
报道,bào dào,"đưa tin, bản tin",新闻报道说...
报告,bào gào,báo cáo,他在会议上做了一个报告。
报社,bào shè,tòa soạn báo,他在报社工作。
抱怨,bào yuàn,trách móc,她经常抱怨工作太多。
背,bèi,"học thuộc, cõng",他背着一个大包。
悲观,bēi guān,bi quan,不要总是这么悲观。
背景,bèi jǐng,bối cảnh,这幅画的背景很美。
被子,bèi zi,chăn,天冷了，要盖好被子。
本科,běn kē,trình độ đại học,他刚刚完成本科课程。
本领,běn lǐng,bản lĩnh,他有很多本领。
本质,běn zhì,bản chất,我们要了解问题的本质。
比例,bǐ lì,tỉ lệ,图中的比例很重要。
彼此,bǐ cǐ,"lẫn nhau, với nhau",他们彼此帮助。
必然,bì rán,tất yếu,这是一个必然的结果。
必要,bì yào,"cần thiết, cần",这是一个必要的步骤。
避免,bì miǎn,tránh,我们要避免错误。
编辑,biān jí,biên tập,他是一本杂志的编辑。
鞭炮,biān pào,pháo,新年时我们放鞭炮。
便,biàn,liền,你便可以走了。
辩论,biàn lùn,biện luận,他们在辩论这个问题。
标点,biāo diǎn,dấu,请注意文章中的标点。
标志,biāo zhì,"đánh dấu, ký hiệu",这个标志很明显。
表达,biǎo dá,diễn đạt,请表达你的意见。
表面,biǎo miàn,"bề mặt, bề ngoài",不要只看表面。
表明,biǎo míng,cho thấy,他的话表明他很生气。
表情,biǎo qíng,biểu cảm,她的表情很开心。
表现,biǎo xiàn,biểu hiện,她的表现让大家都很满意。
冰淇淋,bīng qí lín,kem,冰淇淋是夏天的美食。
病毒,bìng dú,vi rút,这种病毒很危险，应该小心。
玻璃,bō lí,thủy tinh,玻璃窗可以让阳光透进来。
播放,bō fàng,phát sóng,播放音乐可以放松心情。
脖子,bó zi,cổ,他有一个很长的脖子。
博物馆,bó wù guǎn,bảo tàng,我们参观了博物馆。
补充,bǔ chōng,bổ sung,请补充这些信息。
不安,bú ān,bất an,他因为考试不安。
不断,bú duàn,không ngừng,这个问题需要不断解决。
不见得,bú jiàn dé,chưa chắc,结果不见得会更好。
不耐烦,bú nài fán,"chán nản, không kiên nhẫn",他对等待变得不耐烦了。
不然,bú rán,nếu không thì,快点，不然会迟到。
不如,bú rú,không bằng,这次会议不如上次好。
不要紧,bú yào jǐn,không quan trọng,这件事不要紧，慢慢来。
不足,bú zú,không đủ,他的收入不足以养活家庭。
布,bù,vải,这布料非常柔软。
步骤,bù zhòu,bước,这个步骤很复杂。
部门,bù mén,"ban ngành, bộ phận",我们部门的工作很忙。
财产,cái chǎn,tài sản,他们的财产都被保管得很好。
采访,cǎi fǎng,phỏng vấn,记者来采访了公司老板。
采取,cǎi qǔ,"chọn, dùng",我们采取了新的措施。
彩虹,cǎi hóng,cầu vồng,彩虹出现在雨后的天空中。
踩,cǎi,giẫm,小心不要踩到水。
参考,cān kǎo,tham khảo,这是一个很好的参考资料。
参与,cān yù,tham gia,我们需要参与这个项目。
惭愧,cán kuì,hổ thẹn,他对自己的表现感到惭愧。
操场,cāo chǎng,sân vận động,孩子们在操场上玩耍。
操心,cāo xīn,lo lắng,不用操心，事情会好的。
册,cè,"quyển, sổ",老师在我的纪念册上写了几句临别赠言。
测验,cè yàn,thí nghiệm,测验的结果让我很惊讶。
曾经,céng jīng,đã từng,我曾经去过那个城市。
叉子,chā zi,"cái dĩa, cái xiên, cái nĩa",请用叉子切蛋糕。
差距,chā jù,sự khác biệt,他们之间的差距很大。
插,chā,"cắm, chèn",你能把这些插入到报告中吗？
拆,chāi,"gỡ, dỡ",他拆开了那个包裹。
产品,chǎn pǐn,sản phẩm,这个产品的质量很好。
产生,chǎn shēng,"sản sinh, nảy sinh",这次谈话产生了很大的影响。
长途,cháng tú,đường dài,我们计划长途旅行。
常识,cháng shí,kiến thức cơ bản,这是一条常识的规则。
抄,chāo,chép,他抄了别人的作业。
超级,chāo jí,"siêu cấp, cực kỳ",这是一个超级大的市场。
朝,cháo,về hướng,我们朝着目标前进。
潮湿,cháo shī,ẩm ướt,空气有些潮湿。
吵,chǎo,ồn ào,外面的声音很吵。
吵架,chǎo jià,cãi vã,他们在街上吵架。
炒,chǎo,xào,炒菜时要加一些盐。
车库,chē kù,nhà xe,车库里停了两辆车。
车厢,chē xiāng,toa tàu,车厢里非常拥挤。
彻底,chè dǐ,triệt để,彻底清理房间是很重要的。
沉默,chén mò,im lặng,他在会议上保持沉默。
趁,chèn,nhân,"趁着年轻,我们要好好珍惜身边的一切!"
称,chēng,gọi là,我被大家称为“老李”。
称呼,chēng hū,xưng hô,请问怎么称呼呢？
称赞,chēng zàn,tán thưởng,她称赞了我的工作。
成分,chéng fèn,thành phần,这种食物的成分很简单。
成果,chéng guǒ,thành quả,我们取得了很好的成果。
成就,chéng jiù,thành tựu,他的努力带来了巨大的成就。
成立,chéng lì,thành lập,这个公司刚刚成立。
成人,chéng rén,người lớn,除了最小的女儿外，‌其他孩子都已成人。‌
成熟,chéng shú,thành thục,她非常成熟，处理问题很冷静。
成语,chéng yǔ,thành ngữ,这是一句成语，很有意思。
成长,chéng zhǎng,trưởng thành,孩子们在健康成长。
诚恳,chéng kěn,thành khẩn,他说话非常诚恳。
承担,chéng dān,chịu trách nhiệm,我们需要承担更多的责任。
承认,chéng rèn,thừa nhận,我承认我犯了错。
承受,chéng shòu,chịu đựng,他能够承受很大的压力。
程度,chéng dù,trình độ,这个问题的难度程度很高。
程序,chéng xù,trình tự,我们在程序中发现了一些错误。
吃亏,chī kuī,thiệt thòi,这次比赛我吃亏了。
池塘,chí táng,ao hồ,池塘里有很多鱼。
迟早,chí zǎo,sớm muộn,迟早我们会找到解决办法的。
持续,chí xù,"kéo dài, tiêp tục",这个问题需要持续关注。
尺子,chǐ zi,thước đo,请用尺子量一下长度。
翅膀,chì bǎng,cánh,小鸟的翅膀很漂亮。
冲,chōng,"xông, xô đẩy",他们在冲向终点。
充分,chōng fèn,đầy đủ,这个计划充分考虑了所有因素。
充满,chōng mǎn,tràn đầy,房间里充满了温暖的光线。
重复,chóng fù,lặp lại,这个任务需要重复几次。
宠物,chǒng wù,thú cưng,他有很多宠物，比如猫和狗。
抽屉,chōu tì,ngăn kéo,抽屉里放了很多文具。
抽象,chōu xiàng,trừu tượng,他的画儿风格很抽象。
丑,chǒu,xấu,那只狗的样子确实很丑。
臭,chòu,thối,这个地方的味道很臭。
出版,chū bǎn,xuất bản,这本书已经出版了。
出口,chū kǒu,"lối ra, cửa ra",这个港口是重要的出口。
出色,chū sè,xuất sắc,她的表现非常出色。
出示,chū shì,xuất trình,请出示你的身份证。
出席,chū xí,tham dự,每一次出席，都是对人生舞台的又一次征服。
初级,chū jí,sơ cấp,这是初级课程，非常简单。
除非,chú fēi,trừ phi,除非你告诉我，否则我不知道。
除夕,chú xī,giao thừa,我们在除夕晚上吃年夜饭。
处理,chǔ lǐ,xử lý,这个问题需要认真处理。
传播,chuán bō,"lan truyền, lây lan",这个消息通过网络传播很快。
传染,chuán rǎn,nhiễm,这种病很容易传染。
传说,chuán shuō,truyền thuyết,这是一个古老的传说。
传统,chuán tǒng,truyền thống,我们保持了传统的节日习俗。
窗帘,chuāng lián,rèm cửa,窗帘需要定期清洗。
闯,chuǎng,"xông vào, xông lên",他闯入了别人的房间。
创造,chuàng zào,sáng tạo,他们正在创造新的艺术作品。
吹,chuī,thổi,风吹得很大。
词汇,cí huì,từ vựng,学习新词汇对提高语言能力很重要。
