哎哟,āi yōu,ái chà,哎哟，这个问题真是让人头疼。,"Ôi chao, vấn đề này thật là nhức đầu."
挨,ái,"chịu đựng, bị",他每天都要挨饿。,Anh ấy phải chịu đói mỗi ngày.
癌症,ái zhèng,ung thư,她不幸患上了癌症。,Cô ấy không may mắc bệnh ung thư.
爱不释手,ài bù shì shǒu,yêu không rời tay,这本书让他爱不释手。,Cuốn sách này làm anh ấy không thể rời tay.
爱戴,ài dài,"yêu mến, kính trọng",他深受大家的爱戴。,Anh ấy được mọi người yêu mến.
暧昧,ài mèi,"mập mờ, không rõ ràng",他们之间的关系有点暧昧。,Mối quan hệ giữa họ có chút mờ ám.
安居乐业,ān jū lè yè,an cư lạc nghiệp,他们在这里安居乐业。,Họ sống an cư lạc nghiệp ở đây.
安宁,ān níng,yên bình,她喜欢安宁的生活。,Cô ấy thích cuộc sống yên bình.
安详,ān xiáng,"bình thản, điềm tĩnh",他总是表现得很安详。,Anh ấy luôn tỏ ra rất điềm tĩnh.
安置,ān zhì,"sắp xếp, bố trí",我们需要为他们安置住房。,Chúng ta cần sắp xếp chỗ ở cho họ.
案件,àn jiàn,vụ án,这个案件非常复杂。,Vụ án này rất phức tạp.
案例,àn lì,"trường hợp, ví dụ",这个案例很有参考价值。,Trường hợp này rất có giá trị tham khảo.
按摩,àn mó,mát xa,她每周都会去按摩。,Cô ấy đi mát-xa mỗi tuần.
暗示,àn shì,"ám hiệu, gợi ý",他暗示我应该努力工作。,Anh ấy gợi ý tôi nên làm việc chăm chỉ.
昂贵,áng guì,đắt đỏ,这块手表非常昂贵。,Chiếc đồng hồ này rất đắt tiền.
凹凸,āo tū,lồi lõm,这条路很凹凸不平。,Con đường này rất gồ ghề.
熬,áo,"nấu, chịu đựng",她在厨房里熬了整夜。,Cô ấy đã nấu nướng cả đêm trong bếp.
奥秘,ào mì,"bí mật, huyền bí",这个问题充满了奥秘。,Vấn đề này đầy bí ẩn.
扒,bā,"cào, móc, kéo",他用力扒开了门。,Anh ấy đã cố gắng mở cửa.
疤,bā,vết sẹo,他脸上的疤很明显。,Vết sẹo trên mặt anh ấy rất rõ.
巴不得,bā bu de,"nóng lòng, mong mỏi",我巴不得快点放假。,Tôi mong muốn nhanh chóng được nghỉ.
巴结,bā jié,"nịnh nọt, xu nịnh",他总是喜欢巴结老板。,Anh ấy luôn thích nịnh nọt sếp.
拔苗助长,bá miáo zhù zhǎng,đốt cháy giai đoạn,这样做只会拔苗助长。,Làm như vậy chỉ là hại nhiều hơn lợi.
把关,bǎ guān,"trông coi, bảo vệ",我们要严格把关质量。,Chúng ta phải kiểm soát chất lượng nghiêm ngặt.
把手,bǎ shǒu,"tay cầm, tay nắm",这个杯子的把手坏了。,Tay cầm của cái cốc này bị hỏng rồi.
把戏,bǎ xì,"trò biểu diễn, trò ảo thuật",他总是喜欢耍把戏。,Anh ấy luôn thích biểu diễn trò ảo thuật.
霸道,bà dào,"bá đạo, hung hăng",他的性格有点霸道。,Tính cách của anh ấy hơi độc đoán.
罢工,bà gōng,đình công,工人们决定罢工。,Công nhân quyết định đình công.
掰,bāi,bẻ gãy,他用力掰开了苹果。,Anh ấy dùng lực tách quả táo ra.
百分点,bǎi fēn diǎn,điểm phần trăm,他的成绩提高了百分之一。,Thành tích của anh ấy đã tăng lên 1%.
摆脱,bǎi tuō,thoát khỏi,我终于摆脱了这个麻烦。,Cuối cùng tôi đã thoát khỏi rắc rối này.
拜访,bài fǎng,thăm hỏi,我们去拜访了老朋友。,Chúng tôi đã đi thăm người bạn cũ.
败坏,bài huài,"phá hoại, làm hỏng",他的行为败坏了公司的名声。,Hành vi của anh ấy đã làm hỏng danh tiếng của công ty.
拜年,bài nián,chúc Tết,新年时，我们要去拜年。,"Vào dịp Tết, chúng tôi phải đi chúc Tết."
拜托,bài tuō,nhờ vả,请你拜托他把文件送来。,Xin nhờ anh ấy mang tài liệu tới.
颁布,bān bù,ban hành,政府颁布了新的法律。,Chính phủ đã ban hành luật mới.
颁发,bān fā,trao tặng,他们获得了奖状。,Họ đã nhận được bằng khen.
斑纹,bān wén,"hoa văn, vằn",这个动物有很漂亮的斑纹。,Con vật này có những vằn rất đẹp.
版本,bǎn běn,phiên bản,我们需要更新这个版本的应用程序。,Chúng ta cần cập nhật phiên bản ứng dụng này.
伴侣,bàn lǚ,bạn đời,他是我的最佳伴侣。,Anh ấy là người bạn đồng hành tốt nhất của tôi.
伴随,bàn suí,"đi cùng, đi kèm",这件事总是伴随麻烦。,Việc này luôn đi kèm với rắc rối.
半途而废,bàn tú ér fèi,bỏ dở giữa chừng,他总是半途而废。,Anh ấy luôn bỏ cuộc giữa chừng.
扮演,bàn yǎn,đóng vai,他在电影中扮演了一个重要角色。,Anh ấy đóng vai một nhân vật quan trọng trong phim.
绑架,bǎng jià,bắt cóc,那个罪犯绑架了一个小孩。,Tên tội phạm đã bắt cóc một đứa trẻ.
榜样,bǎng yàng,"tấm gương, mẫu mực",他是我们学习的榜样。,Anh ấy là tấm gương để chúng tôi học tập.
磅,bàng,pound (đơn vị đo lường),这个盒子重达十磅。,Chiếc hộp này nặng tới mười cân Anh.
包庇,bāo bì,"che giấu, bao che",他试图包庇他的朋友。,Anh ấy cố gắng bao che cho bạn của mình.
包袱,bāo fu,gánh nặng,我们需要解决这个问题的包袱。,Chúng ta cần giải quyết gánh nặng của vấn đề này.
包围,bāo wéi,bao vây,敌人已经包围了城市。,Kẻ địch đã bao vây thành phố.
包装,bāo zhuāng,đóng gói,我需要包装这些礼物。,Tôi cần gói những món quà này.
保管,bǎo guǎn,bảo quản,请保管好你的贵重物品。,Hãy giữ gìn cẩn thận những vật dụng quý giá của bạn.
饱和,bǎo hé,bão hòa,这个市场已经饱和了。,Thị trường này đã bão hòa rồi.
饱经沧桑,bǎo jīng cāng sāng,trải qua nhiều thăng trầm,他饱经沧桑，经历了许多困难。,Anh ấy đã trải qua nhiều thăng trầm và khó khăn.
保密,bǎo mì,giữ bí mật,这个文件需要保密。,Tài liệu này cần được bảo mật.
保姆,bǎo mǔ,bảo mẫu,我请了一位保姆来照顾孩子。,Tôi thuê một người giúp việc để chăm sóc con cái.
保守,bǎo shǒu,bảo thủ,他是一个非常保守的人。,Anh ấy là một người rất bảo thủ.
保卫,bǎo wèi,bảo vệ,我们要保卫我们的家园。,Chúng ta phải bảo vệ quê hương của mình.
保养,bǎo yǎng,bảo dưỡng,她每天都花时间保养皮肤。,Cô ấy dành thời gian chăm sóc da mỗi ngày.
保障,bǎo zhàng,bảo đảm,政府采取措施保障人民的安全。,Chính phủ thực hiện các biện pháp để đảm bảo an toàn cho người dân.
保重,bǎo zhòng,bảo trọng,请保重身体。,Hãy giữ gìn sức khỏe.
报仇,bào chóu,báo thù,他发誓要报仇。,Anh ấy thề sẽ trả thù.
报酬,bào chóu,thù lao,他为这项工作获得了丰厚的报酬。,Anh ấy nhận được thù lao hậu hĩnh cho công việc này.
报答,bào dá,báo đáp,我会努力报答你的帮助。,Tôi sẽ cố gắng đền đáp sự giúp đỡ của bạn.
报到,bào dào,báo danh,请明天早上九点前来报到。,Xin hãy đến đăng ký trước 9 giờ sáng mai.
爆发,bào fā,bùng phát,火山突然爆发了。,Núi lửa đột nhiên phun trào.
报复,bào fù,báo thù,他遭到了同事的报复。,Anh ấy bị đồng nghiệp trả thù.
抱负,bào fù,hoài bão,他从小就有伟大的抱负。,Anh ấy có hoài bão lớn từ khi còn nhỏ.
曝光,bào guāng,"phơi bày, lộ diện",这件事被媒体曝光了。,Sự việc này đã bị phơi bày trên truyền thông.
暴力,bào lì,bạo lực,他使用暴力解决问题。,Anh ấy dùng bạo lực để giải quyết vấn đề.
暴露,bào lù,lộ ra,他的话让真相暴露了出来。,Lời nói của anh ấy đã làm lộ ra sự thật.
报社,bào shè,tòa soạn báo,他在报社工作。,Anh ấy làm việc tại tòa soạn báo.
报销,bào xiāo,thanh toán (chi phí),这些费用可以报销。,Những chi phí này có thể được hoàn trả.
抱怨,bào yuàn,phàn nàn,他总是喜欢抱怨生活。,Anh ấy luôn thích phàn nàn về cuộc sống.
爆炸,bào zhà,nổ,工厂发生了爆炸事故。,Nhà máy đã xảy ra tai nạn nổ.
悲哀,bēi āi,bi ai,他感到非常悲哀。,Anh ấy cảm thấy rất đau buồn.
卑鄙,bēi bǐ,đê tiện,他的行为真是卑鄙。,Hành vi của anh ấy thật là hèn hạ.
悲惨,bēi cǎn,bi thảm,这个故事非常悲惨。,Câu chuyện này rất bi thảm.
北极,běi jí,Bắc Cực,我想去北极探险。,Tôi muốn đi thám hiểm Bắc Cực.
被动,bèi dòng,bị động,他在会议上显得很被动。,Anh ấy tỏ ra rất bị động trong cuộc họp.
备份,bèi fèn,sao lưu,请先做个备份，以防万一。,Hãy làm bản sao lưu trước để phòng ngừa.
被告,bèi gào,bị cáo,被告在法庭上辩护。,Bị cáo biện hộ tại tòa án.
贝壳,bèi ké,vỏ sò,沙滩上有很多美丽的贝壳。,Trên bãi biển có rất nhiều vỏ sò đẹp.
背叛,bèi pàn,phản bội,他背叛了朋友的信任。,Anh ấy đã phản bội niềm tin của bạn bè.
背诵,bèi sòng,đọc thuộc lòng,请你把这段话背诵下来。,Hãy học thuộc lòng đoạn này.
备忘录,bèi wàng lù,"sổ tay, sổ ghi nhớ",我写了一份备忘录。,Tôi đã viết một bản ghi nhớ.
奔波,bēn bō,"bôn ba, vất vả",他在城市和乡村之间奔波。,Anh ấy đi lại giữa thành phố và nông thôn.
